size_label,mode,num_params_m,warmup_steps,measure_steps,mean_ms,std_ms,context_length,mixed_precision
small,forward,128.625408,5,10,41.23748110000065,2.25488008608624,128,True
small,forward+backward,128.625408,5,10,85.84610800000263,2.5737587833388647,128,True
small,forward,128.625408,5,10,40.23499620000166,0.28246642332871147,256,True
small,forward+backward,128.625408,5,10,83.61173090000875,0.2393138965713364,256,True
small,forward,128.625408,5,10,40.981889600004706,0.3616242544803733,512,True
small,forward+backward,128.625408,5,10,84.17447029999607,0.404757292684512,512,True
small,forward,128.625408,5,10,43.94366110000192,0.1637979972818178,1024,True
small,forward+backward,128.625408,5,10,126.72819380000533,0.16257025441347636,1024,True
medium,forward,423.18336,5,10,80.6414640999975,0.6725060297342902,128,True
medium,forward+backward,423.18336,5,10,169.3501881999964,1.5763095074186448,128,True
medium,forward,423.18336,5,10,80.30240379999896,2.7753987698400966,256,True
medium,forward+backward,423.18336,5,10,166.84599549999461,2.3464613562296126,256,True
medium,forward,423.18336,5,10,80.5517717999976,0.6932942045088266,512,True
medium,forward+backward,423.18336,5,10,171.93274749999432,0.4052746529697683,512,True
medium,forward,423.18336,5,10,118.4572983999999,0.17361049957496075,1024,True
medium,forward+backward,423.18336,5,10,351.84124049999355,0.3615804909356944,1024,True
large,forward,969.41184,5,10,126.80521189999467,3.1236361715201855,128,True
large,forward+backward,969.41184,5,10,258.8999405000095,5.197473969783961,128,True
large,forward,969.41184,5,10,139.35283640000193,36.25538838531273,256,True
large,forward+backward,969.41184,5,10,264.23599879999813,4.273857142085162,256,True
large,forward,969.41184,5,10,130.18500550000027,4.005921808502976,512,True
large,forward+backward,969.41184,5,10,297.6806200000013,4.892054736848489,512,True
large,forward,969.41184,5,10,FAILED,N/A,1024,True
large,forward+backward,969.41184,5,10,FAILED,N/A,1024,True
xl,forward,1998.2352,5,10,163.9748090000012,1.6709420782138493,128,True
xl,forward+backward,1998.2352,5,10,338.63417419999564,1.4175118910510982,128,True
xl,forward,1998.2352,5,10,162.7701727999863,0.7063586107426768,256,True
xl,forward+backward,1998.2352,5,10,337.6942389999897,1.6186750134621715,256,True
xl,forward,1998.2352,5,10,166.2410231000024,0.967149643410367,512,True
xl,forward+backward,1998.2352,5,10,458.728665000001,0.8914486749332424,512,True
xl,forward,1998.2352,5,10,FAILED,N/A,1024,True
xl,forward+backward,1998.2352,5,10,FAILED,N/A,1024,True
2.7B,forward,3406.8096,5,10,115.88547019999851,2.848582360081861,128,True
2.7B,forward+backward,3406.8096,5,10,241.3653002999922,6.925600077416464,128,True
2.7B,forward,3406.8096,5,10,112.3086035,0.864151358058566,256,True
2.7B,forward+backward,3406.8096,5,10,299.15044639999167,0.955885714799679,256,True
2.7B,forward,3406.8096,5,10,167.06599240000202,0.275657370444202,512,True
2.7B,forward+backward,3406.8096,5,10,FAILED,N/A,512,True
2.7B,forward,3406.8096,5,10,FAILED,N/A,1024,True
2.7B,forward+backward,3406.8096,5,10,FAILED,N/A,1024,True
